Designator,Mid X,Mid Y,Rotation,Layer
C1,152.0,-71.0,270.0,bottom
C10,148.25,-98.0,180.0,bottom
C11,140.25,-58.5,0.0,bottom
C2,152.0,-74.5,270.0,bottom
C3,151.75,-55.5,180.0,bottom
C4,144.5,-98.0,180.0,bottom
C5,159.25,-98.0,180.0,bottom
C6,140.0,-71.0,90.0,bottom
C7,140.0,-74.5,90.0,bottom
C8,140.25,-55.5,180.0,bottom
C9,133.5,-98.0,180.0,bottom
D1,152.0,-67.25,90.0,bottom
D2,140.0,-67.25,270.0,bottom
D3,143.0,-60.0,90.0,bottom
D4,146.005,-46.0,0.0,top
D5,136.005,-46.0,0.0,top
D6,156.005,-46.0,0.0,top
J1,147.7375,-72.0,0.0,bottom
J2,146.0,-54.6675,0.0,top
J3,136.0,-54.6675,0.0,top
J4,136.0,-68.1675,0.0,top
J5,156.0,-54.6675,0.0,top
J6,156.0,-68.1675,0.0,top
JS1,146.985,-130.76,0.0,top
R1,140.25,-57.0,0.0,bottom
R10,147.5,-119.0,180.0,bottom
R11,139.25,-84.5,180.0,bottom
R12,133.5,-103.0,0.0,bottom
R13,136.0,-57.0,0.0,bottom
R14,139.25,-86.0,180.0,bottom
R15,133.5,-111.25,0.0,bottom
R16,147.5,-123.5,180.0,bottom
R17,139.25,-87.5,0.0,bottom
R18,136.0,-69.75,0.0,bottom
R19,136.0,-54.0,180.0,bottom
R2,146.0,-140.25,0.0,bottom
R20,136.0,-71.25,0.0,bottom
R21,144.5,-123.5,0.0,bottom
R22,139.25,-89.0,180.0,bottom
R23,141.0,-118.25,90.0,bottom
R24,138.0,-118.25,270.0,bottom
R25,144.5,-119.0,0.0,bottom
R26,139.25,-90.5,180.0,bottom
R27,159.25,-100.5,0.0,bottom
R28,148.25,-100.5,180.0,bottom
R29,148.25,-95.5,180.0,bottom
R3,146.0,-137.5,180.0,bottom
R30,157.0,-128.5,90.0,bottom
R31,154.25,-84.5,180.0,bottom
R32,148.25,-103.0,0.0,bottom
R33,156.0,-57.0,0.0,bottom
R34,154.25,-86.0,180.0,bottom
R35,148.25,-111.25,0.0,bottom
R36,152.5,-128.425,90.0,bottom
R37,154.25,-87.5,0.0,bottom
R38,156.0,-69.75,180.0,bottom
R39,156.0,-54.0,180.0,bottom
R4,142.75,-46.0,270.0,bottom
R40,156.0,-71.25,180.0,bottom
R41,152.5,-131.425,270.0,bottom
R42,154.25,-89.0,180.0,bottom
R43,154.0,-118.25,90.0,bottom
R44,151.0,-118.25,270.0,bottom
R45,157.0,-131.5,270.0,bottom
R46,154.25,-90.5,180.0,bottom
R5,148.5,-60.0,90.0,bottom
R6,151.0,-60.0,270.0,bottom
R7,144.5,-100.5,0.0,bottom
R8,133.5,-100.5,180.0,bottom
R9,133.5,-95.5,180.0,bottom
RV1,138.5,-107.51,90.0,bottom
RV2,138.5,-87.2475,0.0,top
RV3,138.5,-109.2475,0.0,top
RV4,153.5,-107.51,90.0,bottom
RV5,153.5,-87.2475,0.0,top
RV6,153.5,-109.2475,0.0,top
U1,146.0,-55.5,270.0,bottom
U2,139.0,-98.0,270.0,bottom
U3,153.75,-98.0,270.0,bottom
