Designator,Mid X,Mid Y,Rotation,Layer
C1,140.25,-69.75,90.0,bottom
C10,153.75,-69.75,270.0,bottom
C11,152.5,-59.25,180.0,bottom
C12,139.5,-59.25,180.0,bottom
C13,147.5,-97.25,180.0,bottom
C14,147.5,-104.25,180.0,bottom
C15,147.5,-116.0,180.0,bottom
C16,147.5,-130.25,180.0,bottom
C17,138.25,-128.25,90.0,bottom
C2,138.25,-69.75,90.0,bottom
C3,152.5,-52.25,180.0,bottom
C4,139.5,-52.25,180.0,bottom
C5,146.0,-90.25,180.0,bottom
C6,144.5,-97.25,180.0,bottom
C7,146.0,-109.0,180.0,bottom
C8,144.5,-123.25,180.0,bottom
C9,151.75,-69.75,270.0,bottom
D1,140.25,-73.25,270.0,bottom
D2,151.75,-73.25,90.0,bottom
D3,140.25,-64.25,270.0,bottom
D4,146.005,-46.0,180.0,top
D5,136.005,-46.0,180.0,top
D6,156.005,-46.0,180.0,top
J1,146.0,-71.0,0.0,bottom
J2,146.0,-54.46,0.0,top
J3,136.0,-54.46,0.0,top
J4,136.0,-67.96,0.0,top
J5,156.0,-54.46,0.0,top
J6,156.0,-67.96,0.0,top
JS1,147.115,-130.7975,0.0,top
R1,139.75,-128.25,90.0,bottom
R10,134.5,-103.5,90.0,bottom
R11,137.0,-87.25,0.0,bottom
R12,138.5,-96.0,180.0,bottom
R13,133.75,-52.0,270.0,bottom
R14,134.75,-88.75,270.0,bottom
R15,139.25,-112.5,180.0,bottom
R16,147.5,-119.25,180.0,bottom
R17,137.0,-90.0,0.0,bottom
R18,144.0,-54.25,270.0,bottom
R19,133.75,-49.0,90.0,bottom
R2,146.0,-140.25,0.0,bottom
R20,144.0,-57.25,90.0,bottom
R21,144.5,-119.25,0.0,bottom
R22,140.0,-90.0,180.0,bottom
R23,141.0,-117.25,90.0,bottom
R24,138.25,-117.25,270.0,bottom
R25,134.5,-110.5,270.0,bottom
R26,140.0,-87.25,180.0,bottom
R27,150.5,-100.0,90.0,bottom
R28,149.75,-88.75,270.0,bottom
R29,150.5,-111.75,90.0,bottom
R3,146.0,-135.75,180.0,bottom
R30,157.5,-103.5,90.0,bottom
R31,155.0,-87.25,0.0,bottom
R32,153.5,-94.5,180.0,bottom
R33,158.25,-52.0,270.0,bottom
R34,152.0,-87.25,0.0,bottom
R35,152.75,-112.5,0.0,bottom
R36,156.75,-128.5,90.0,bottom
R37,152.0,-90.0,0.0,bottom
R38,148.0,-54.25,270.0,bottom
R39,158.25,-49.0,90.0,bottom
R4,151.0,-47.25,180.0,bottom
R40,148.0,-57.25,90.0,bottom
R41,156.75,-131.5,270.0,bottom
R42,155.0,-90.0,180.0,bottom
R43,153.75,-117.25,90.0,bottom
R44,151.0,-117.25,270.0,bottom
R45,157.5,-110.5,270.0,bottom
R46,157.25,-88.75,270.0,bottom
R5,141.0,-120.25,270.0,bottom
R6,138.25,-120.25,90.0,bottom
R7,141.5,-100.0,90.0,bottom
R8,138.5,-94.5,0.0,bottom
R9,141.5,-111.75,90.0,bottom
RV1,138.0,-106.49,90.0,bottom
RV2,138.5,-87.89,0.0,top
RV3,138.5,-110.39,0.0,top
RV4,154.0,-106.49,90.0,bottom
RV5,153.5,-87.89,0.0,top
RV6,153.5,-110.39,0.0,top
U1,152.5,-55.75,270.0,bottom
U2,139.5,-55.75,270.0,bottom
U3,146.0,-93.75,270.0,bottom
U4,146.0,-100.75,270.0,bottom
U5,146.0,-112.5,270.0,bottom
U6,146.0,-126.75,270.0,bottom
